network-number             host-bits    netmask
158.132.0.0              0.0.255.255    255.255.0.0         
158.182.0.0              0.0.255.255    255.255.0.0         
159.226.0.0              0.0.255.255    255.255.0.0         
161.207.0.0              0.0.255.255    255.255.0.0         
162.105.0.0              0.0.255.255    255.255.0.0         
166.111.0.0              0.0.255.255    255.255.0.0         
167.139.0.0              0.0.255.255    255.255.0.0         
168.160.0.0              0.0.255.255    255.255.0.0         
175.185.0.0              0.0.255.255    255.255.0.0         
175.186.0.0              0.1.255.255    255.254.0.0         
180.84.0.0               0.1.255.255    255.254.0.0         
180.201.0.0              0.0.255.255    255.255.0.0         
180.208.0.0              0.1.255.255    255.254.0.0         
183.168.0.0              0.1.255.255    255.254.0.0         
183.170.0.0              0.0.255.255    255.255.0.0         
183.172.0.0              0.3.255.255    255.252.0.0         
192.86.104.0               0.0.0.255    255.255.255.0       
202.4.128.0               0.0.31.255    255.255.224.0       
202.38.0.0               0.0.255.255    255.255.0.0         
202.40.192.0              0.0.31.255    255.255.224.0       
202.45.32.0               0.0.31.255    255.255.224.0       
202.75.64.0               0.0.31.255    255.255.224.0       
202.84.16.0                0.0.1.255    255.255.254.0       
202.95.0.0                0.0.31.255    255.255.224.0       
202.96.0.0              0.15.255.255    255.240.0.0         
202.112.0.0              0.7.255.255    255.248.0.0         
202.120.0.0              0.1.255.255    255.254.0.0         
202.122.32.0              0.0.15.255    255.255.240.0       
202.127.0.0               0.0.63.255    255.255.192.0       
202.127.128.0            0.0.127.255    255.255.128.0       
202.130.0.0               0.0.31.255    255.255.224.0       
202.130.224.0             0.0.31.255    255.255.224.0       
202.131.208.0             0.0.15.255    255.255.240.0       
202.189.96.0              0.0.31.255    255.255.224.0       
202.192.0.0             0.15.255.255    255.240.0.0         
203.81.16.0               0.0.15.255    255.255.240.0       
203.87.224.0              0.0.31.255    255.255.224.0       
203.93.0.0               0.0.255.255    255.255.0.0         
203.128.128.0             0.0.31.255    255.255.224.0       
203.192.0.0               0.0.31.255    255.255.224.0       
203.207.64.0              0.0.63.255    255.255.192.0       
203.207.128.0            0.0.127.255    255.255.128.0       
203.208.0.0               0.0.31.255    255.255.224.0       
203.212.0.0               0.0.15.255    255.255.240.0       
210.5.0.0                 0.0.31.255    255.255.224.0       
210.12.0.0               0.1.255.255    255.254.0.0         
210.14.160.0              0.0.31.255    255.255.224.0       
210.14.192.0              0.0.63.255    255.255.192.0       
210.15.0.0               0.0.127.255    255.255.128.0       
210.15.128.0              0.0.63.255    255.255.192.0       
210.21.0.0               0.0.255.255    255.255.0.0         
210.22.0.0               0.0.255.255    255.255.0.0         
210.25.0.0               0.0.127.255    255.255.128.0       
210.25.128.0              0.0.63.255    255.255.192.0       
210.26.0.0               0.1.255.255    255.254.0.0         
210.28.0.0               0.3.255.255    255.252.0.0         
210.32.0.0              0.15.255.255    255.240.0.0         
210.51.0.0               0.0.255.255    255.255.0.0         
210.52.0.0               0.1.255.255    255.254.0.0         
210.72.0.0               0.3.255.255    255.252.0.0         
210.76.0.0               0.1.255.255    255.254.0.0         
210.78.0.0               0.0.255.255    255.255.0.0         
210.79.224.0              0.0.31.255    255.255.224.0       
210.82.0.0               0.1.255.255    255.254.0.0         
210.192.96.0              0.0.31.255    255.255.224.0       
211.64.0.0               0.7.255.255    255.248.0.0         
211.80.0.0              0.15.255.255    255.240.0.0         
211.96.0.0               0.7.255.255    255.248.0.0         
211.136.0.0              0.7.255.255    255.248.0.0         
211.144.0.0             0.15.255.255    255.240.0.0         
211.160.0.0              0.7.255.255    255.248.0.0         
218.0.0.0               0.31.255.255    255.224.0.0         
218.56.0.0               0.7.255.255    255.248.0.0         
218.64.0.0              0.31.255.255    255.224.0.0         
218.96.0.0               0.3.255.255    255.252.0.0         
218.104.0.0              0.3.255.255    255.252.0.0         
218.108.0.0              0.0.255.255    255.255.0.0         
218.192.0.0             0.15.255.255    255.240.0.0         
218.240.0.0              0.7.255.255    255.248.0.0         
219.72.0.0               0.0.255.255    255.255.0.0         
219.128.0.0             0.31.255.255    255.224.0.0         
219.216.0.0              0.7.255.255    255.248.0.0         
219.224.0.0             0.15.255.255    255.240.0.0         
219.242.0.0              0.1.255.255    255.254.0.0         
219.244.0.0              0.3.255.255    255.252.0.0         
220.160.0.0             0.31.255.255    255.224.0.0         
220.192.0.0             0.15.255.255    255.240.0.0         
220.234.0.0              0.0.255.255    255.255.0.0         
220.248.0.0              0.3.255.255    255.252.0.0         
220.252.0.0              0.0.255.255    255.255.0.0         
221.0.0.0               0.15.255.255    255.240.0.0         
221.130.0.0              0.1.255.255    255.254.0.0         
221.137.0.0              0.0.255.255    255.255.0.0         
221.172.0.0              0.3.255.255    255.252.0.0         
221.192.0.0              0.7.255.255    255.248.0.0         
221.200.0.0              0.3.255.255    255.252.0.0         
221.204.0.0              0.1.255.255    255.254.0.0         
221.208.0.0              0.3.255.255    255.252.0.0         
221.212.0.0              0.0.255.255    255.255.0.0         
221.214.0.0              0.1.255.255    255.254.0.0         
221.216.0.0              0.7.255.255    255.248.0.0         
221.224.0.0             0.15.255.255    255.240.0.0         
222.16.0.0              0.15.255.255    255.240.0.0         
222.32.0.0              0.31.255.255    255.224.0.0         
222.64.0.0              0.31.255.255    255.224.0.0         
222.132.0.0              0.3.255.255    255.252.0.0         
222.136.0.0              0.7.255.255    255.248.0.0         
222.160.0.0              0.3.255.255    255.252.0.0         
222.168.0.0              0.7.255.255    255.248.0.0         
222.176.0.0             0.15.255.255    255.240.0.0         
222.192.0.0             0.15.255.255    255.240.0.0         
222.208.0.0              0.7.255.255    255.248.0.0         
222.216.0.0              0.1.255.255    255.254.0.0         
222.218.0.0              0.0.255.255    255.255.0.0         
222.222.0.0              0.1.255.255    255.254.0.0         
222.240.0.0              0.7.255.255    255.248.0.0         
223.2.0.0                0.1.255.255    255.254.0.0         
223.128.0.0              0.1.255.255    255.254.0.0         

64.4.0.0                  0.0.63.255    255.255.192.0       
65.54.0.0                0.1.255.255    255.254.0.0         
66.129.67.169                0.0.0.0    255.255.255.255     
66.133.171.0               0.0.0.255    255.255.255.0       
67.192.35.176                0.0.0.0    255.255.255.255     
67.212.131.81                0.0.0.0    255.255.255.255     
